Position in x [m],Voltage [V]
-0.0597134,0.0108321
-0.0597136,0.0108321
-0.0597142,0.01
-0.0597148,0.01
-0.059715,0.01
-0.0597156,0.01
-0.0597164,0.01
-0.059717,0.01
-0.0597172,0.01
-0.0597178,0.01
-0.0597186,0.01
-0.0597192,0.01
-0.0597194,0.01
-0.05972,0.01
-0.0597202,0.01
-0.059721,0.01
-0.0597214,0.01
-0.0597218,0.01
-0.0597226,0.01
-0.0597231,0.01
-0.0597234,0.01
-0.0597239,0.01
-0.0597242,0.01
-0.059725,0.01
-0.0597255,0.01
-0.0597258,0.01
-0.0597263,0.01
-0.0597269,0.01
-0.0597271,0.01
-0.0597279,0.01
-0.0597283,0.01
-0.0597287,0.01
-0.0597293,0.01
-0.0597299,0.01
-0.0597305,0.01
-0.0597307,0.01
-0.0597315,0.01
-0.0597321,0.01
-0.0597327,0.01
-0.0597331,0.01
-0.0597337,0.01
-0.0597343,0.01
-0.0597351,0.01
-0.0597357,0.01
-0.0597365,0.01
-0.0597367,0.01
-0.0597373,0.01
-0.0597381,0.01
-0.0597387,0.0101042
-0.0597389,0.0101042
-0.0597397,0.0101042
-0.0597401,0.0101042
-0.0597409,0.0101042
-0.0597413,0.01
-0.0597417,0.01
-0.0597425,0.01
-0.0597433,0.01
-0.0597433,0.01
-0.0597441,0.01
-0.0597447,0.01
-0.0597449,0.01
-0.0597457,0.01
-0.0597463,0.01
-0.0597469,0.01
-0.0597473,0.01
-0.0597479,0.01
-0.0597485,0.01
-0.0597487,0.01
-0.0597493,0.01
-0.0597501,0.01
-0.0597503,0.01
-0.0597509,0.01
-0.0597515,0.01
-0.0597519,0.01
-0.0597523,0.01
-0.0597531,0.01
-0.0597533,0.01
-0.0597539,0.01
-0.0597545,0.01
-0.0597553,0.01
-0.0597555,0.01
-0.0597561,0.01
-0.0597569,0.01
-0.0597569,0.01
-0.0597577,0.01
-0.0597585,0.01
-0.0597589,0.01
-0.0597593,0.01
-0.0597601,0.01
-0.0597605,0.01
-0.0597609,0.01
-0.0597615,0.01
-0.0597621,0.01
-0.0597629,0.01
-0.0597631,0.01
-0.0597637,0.01
-0.0597645,0.01
-0.0597651,0.01
-0.0597655,0.01
-0.0597661,0.01
-0.0597667,0.01
-0.0597675,0.01
-0.0597677,0.01
-0.0597683,0.01
-0.0597691,0.01
-0.0597697,0.01
-0.0597699,0.01
-0.0597707,0.01
-0.0597712,0.01
-0.059772,0.01
-0.0597727,0.01
-0.0597728,0.01
-0.0597736,0.01
-0.0597742,0.0101034
-0.0597744,0.0101034
-0.0597752,0.0101034
-0.0597758,0.0101034
-0.059776,0.0101034
-0.0597768,0.01
-0.0597774,0.01
-0.0597782,0.01
-0.0597784,0.01
-0.059779,0.01
-0.0597798,0.01
-0.05978,0.01
-0.0597808,0.01
-0.0597814,0.01
-0.0597822,0.01
-0.0597828,0.01
-0.059783,0.01
-0.0597838,0.01
-0.0597844,0.01
-0.059785,0.01
-0.0597854,0.01
-0.0597862,0.01
-0.0597868,0.01
-0.0597874,0.01
-0.0597882,0.01
-0.059789,0.01
-0.0597898,0.01
-0.0597901,0.01
-0.0597905,0.01
-0.0597913,0.01
-0.0597921,0.01
-0.0597927,0.01
-0.0597935,0.01
-0.0597941,0.01
-0.0597949,0.01
-0.0597951,0.01
-0.0597959,0.01
-0.0597967,0.01
-0.0597973,0.01
-0.0597975,0.01
-0.0597983,0.01
-0.0597991,0.01
-0.0597999,0.01
-0.0598005,0.01
-0.0598013,0.01
-0.0598021,0.01
-0.0598029,0.01
-0.0598031,0.01
-0.0598039,0.01
-0.0598047,0.01
-0.0598053,0.01
-0.0598061,0.01
-0.0598069,0.01
-0.0598073,0.01
-0.0598079,0.01
-0.0598085,0.01
-0.0598093,0.01
-0.0598101,0.01
-0.0598105,0.01
-0.059811,0.01
-0.0598117,0.01
-0.0598125,0.01
-0.0598129,0.01
-0.0598134,0.01
-0.0598142,0.01
